country,winter,min_winter_full,days,storage_stress,storage_at_start,storage_trend_30d,storage_volatility,vol_x_start
HU,2019.0,65.83,152,0,97.4709677419355,1.2399999999999949,6.363158443789849,7.43782827185337
HU,2020.0,49.11,151,0,98.17032258064515,-0.480000000000004,3.9153466737353657,-15.831848305771057
HU,2021.0,19.15,151,1,80.67354838709677,-6.319999999999993,2.794510259510932,21.29689675262074
HU,2022.0,44.84,151,0,79.30612903225807,12.079999999999998,9.043558716411287,-31.957264730499006
HU,2023.0,67.32,152,0,96.55064516129033,2.9499999999999886,4.942798547194932,-4.854896917506848
HU,2024.0,36.03,151,0,92.40548387096774,-2.569999999999993,2.803997425203759,-10.881974824605606
IT,2014.0,35.36,151,0,96.74935483870966,1.0499999999999972,3.2083050798892154,-19.40530485572382
IT,2015.0,38.45,152,0,95.39161290322582,2.8599999999999994,6.247375040277527,4.921218677510577
IT,2016.0,39.41,151,0,97.39354838709677,3.5600000000000023,5.826753716813889,2.565510517161027
IT,2017.0,33.48,151,0,96.27612903225808,3.5600000000000023,5.270447801180539,-2.11968850166732
IT,2018.0,37.59,151,0,96.84645161290324,1.9299999999999926,5.450269397412347,-0.7601033116032035
IT,2019.0,42.99,152,0,97.89064516129032,1.9300000000000068,4.9604180346672075,-5.489201261873334
IT,2020.0,36.09,151,0,98.78193548387098,0.7700000000000102,3.6469444327245757,-19.604610715809116
IT,2021.0,29.81,151,1,87.08612903225809,1.9099999999999966,3.7218532628734913,2.4422771004522055
IT,2022.0,56.48,151,0,93.70612903225806,4.670000000000002,6.724425747634937,6.247375096784518
IT,2023.0,56.47,152,0,97.84064516129035,2.3200000000000074,3.143911201107539,-22.55653635991539
IT,2024.0,42.59,151,0,97.65290322580644,2.019999999999996,3.129275843285597,-22.241578298637634
LV,2014.0,33.32,151,0,95.53258064516132,9.090000000000003,15.836800086074588,73.14024124789316
LV,2015.0,25.46,152,1,86.10645161290324,-3.269999999999996,9.178706482758301,-8.449697736283786
LV,2016.0,19.88,151,1,63.747419354838705,-6.0,10.323055529041797,-118.03923329575552
LV,2017.0,16.08,151,1,57.81516129032258,11.790000000000006,14.124466204711593,-262.7858919318822
LV,2018.0,15.14,151,1,55.02,2.8299999999999983,12.114963313703615,-219.6438114699227
LV,2019.0,32.36,152,0,74.26903225806448,2.030000000000001,8.876160021602168,-47.2317994057047
LV,2020.0,26.29,151,1,99.58451612903224,-0.5699999999999932,7.8548280404836355,25.81677320508651
LV,2021.0,24.53,151,1,79.571935483871,-1.2199999999999989,6.300608372821266,-6.7316972858589885
LV,2022.0,33.62,151,0,54.88419354838708,4.859999999999999,2.4588648355797105,103.37516540615445
LV,2023.0,45.39,152,0,88.23322580645161,3.1500000000000057,7.122722343529982,-0.3097228398972946
LV,2024.0,37.29,151,0,78.29967741935482,2.6500000000000057,4.053412212173559,15.063881878601228
NL,2014.0,23.67,151,1,97.3316129032258,-0.27000000000001023,1.5555697881460535,-35.47697022807339
NL,2015.0,30.03,152,0,94.49580645161288,-1.0500000000000114,6.801515510968311,7.649928876040613
NL,2016.0,16.71,151,1,96.95483870967742,-3.519999999999996,4.862799607733058,-5.778571489541124
NL,2017.0,6.19,151,1,95.72677419354842,2.069999999999993,8.48063881477196,21.45599774038744
NL,2018.0,47.64,151,0,93.67903225806452,4.920000000000002,10.916821212274845,28.22556544523596
NL,2019.0,44.29,152,0,96.87193548387094,-4.589999999999989,3.228043272756194,-19.524546850525724
NL,2020.0,22.92,151,1,88.47709677419353,-4.170000000000002,3.6062117115976315,-0.09306297149236083
NL,2021.0,20.28,151,1,60.652580645161294,3.010000000000005,7.637173752203648,-58.236112551958485
